"track","race","place","rug","name","trainer","time","margin","split","inRun","weight","sire","dam","sp"
"Bendigo (VIC)","Race 7","5","","SCOTCH MARRA (1)","George Kantzidis","24.46","8.97","6.78","M545","36.0kg","Hooked On Scotch","Adele's Entity","$26.00"
"Bendigo (VIC)","Race 7","6","","BELLA GEORGIA (2)","Mario Briganti","24.96","16.10","6.88","M888","28.7kg","Hard Style Rico","Freda Rocks","$7.00"
"Bendigo (VIC)","Race 7","7","","WEST TWO AFFAIR (6)","Martin Hanke","25.15","18.86","6.78","M466","28.3kg","Andy Palmer","Hoo Gur Affair","$51.00"
"Bendigo (VIC)","Race 7","8","","ECCENTRIC MONA (5)","Glen Davies","25.37","21.93","6.84","M777","26.0kg","Tommy Shelby","Wharfies Girl","$71.00"
"Bendigo (VIC)","Race 7","SCR","","ANCHOR CRANKER","Dylan Sharp","","","","","","Bernardo","Boquilla",""
"Bendigo (VIC)","Race 7","SCR","","KOLTYN","Carly Feltham","","","","","","Mr. Audacious","Chatterbox Tilly",""
"Bendigo (VIC)","Race 8","1","","ASHTON (8)","Emma Scott","27.92","0.00","6.57","S422","28.5kg","Hard Style Rico","Strada","$8.50"
"Bendigo (VIC)","Race 8","2","","TANNER BALE (6)","Correy Grenfell","28.02","1.41","6.46","M111","33.6kg","Christo Bale","Helga Bale","$5.50"
"Bendigo (VIC)","Race 8","3","","ARI GOLD (1)","Jordan Formosa","28.16","3.34","6.66","M566","35.1kg","Superior Panama","Maggie Marvel","$12.00"
"Bendigo (VIC)","Race 8","4","","PAW TIKA (5)","Samantha Grenfell","28.17","3.54","6.50","M344","25.9kg","Fernando Bale","Helma Bale","$6.50"
"Bendigo (VIC)","Race 8","5","","BOMBARDA MAXIMA (7)","Mark Johnson","28.19","3.81","6.47","M233","34.5kg","Bernardo","Slingshot Gypsy","$10.00"
"Bendigo (VIC)","Race 8","6","","AWESOME AVENGER (2)","George Borg","28.22","4.23","6.69","M855","35.1kg","Hooked On Scotch","Lady Avenger","$15.00"
"Bendigo (VIC)","Race 8","7","","PIEBALD (4)","Daniel Pell","28.52","8.54","6.66","M688","32.0kg","Fernando Bale","Rasputia","$8.00"
"Bendigo (VIC)","Race 8","8","","JETSTREAM ICON (3)","Marien Sullivan","28.53","8.66","6.67","M777","32.6kg","Fernando Bale","Weeona Dotty","$2.20"
"Bendigo (VIC)","Race 8","SCR","","OUR REGARDS","Julia Creed","","","","","","Aussie Infrared","Scott Something",""
