"track","raceNumber","runnerName","betType","bet365","ubet","tabtouch","betr","boombet","sportsbet","betfair_back","betfair_lay","picketbet","ladbrokes","pointsbet","neds","colossal"
"Sale","R5","4 Mickayla Swift (4)","Win",1.95,1.9,1.95,1.9,1.96,1.95,1.88,2.8,1.85,1.9,1.9,1.9,1.7
"Sale","R5","6 Warrior Ethan (6)","Win",5.5,5,5,5,5.1,5,4.8,1000,5,5,5,5,4.4
"Sale","R5","7 Lily Lala (7)","Win",13,12,12,12,12.8,12,11,1000,12,12,13,12,11
"Sale","R5","8 Tanner Time (8)","Win",16,15,15,15,12.4,15,11.5,1000,15,15,14,15,13
"Sale","R5","1 Dundee Dixie (1)","Place",2.1,2.1,2.1,1.95,1.8,1.91,1.7,2.1,2.1,2.1,1.85,"-","-"
"Sale","R5","2 Go See Ian (2)","Place",29,24,16,12,18.2,14,17,18,17,18,12,"-","-"
"Sale","R5","3 Liberty Kelton (3)","Place",2.1,2.1,2.1,1.95,1.82,1.88,1.7,2.1,2.05,2.1,1.85,"-","-"
"Sale","R5","4 Mickayla Swift (4)","Place",1.4,1.35,1.28,1.25,1.31,1.3,1.07,1.28,1.25,1.28,1.25,"-","-"
"Sale","R5","6 Warrior Ethan (6)","Place",2.4,2.2,2.25,2.1,2.25,2.1,1.8,2.25,2.2,2.25,1.95,"-","-"
"Sale","R5","7 Lily Lala (7)","Place",4.25,4.2,4,3.7,4.25,4.2,3.4,4.2,4,4.2,3.6,"-","-"
"Sale","R5","8 Tanner Time (8)","Place",5,5,4.6,4,5.1,6.5,4,5,4.2,5,4,"-","-"
"Sale","R6","1 Elle Gem (1)","Win",6.5,6.5,6.5,6.5,6.6,6.5,6.2,1000,6,6.5,6.5,6.5,5.75
"Sale","R6","2 Lakeview Nola (2)","Win",5,4.8,4.8,4.8,4.85,4.8,4.7,1000,4.6,4.8,4.8,4.8,4.4
"Sale","R6","3 Bakis Bale (3)","Win",3.8,3.4,3.4,3.4,3.45,3.4,3.35,1000,3.25,3.4,3.4,3.4,3.1
"Sale","R6","4 Soda Apache (4)","Win",8,8,8,8,6.2,8,7.6,1000,7.5,8,7.5,8,7
"Sale","R6","5 Aviation (5)","Win",3.2,3.2,3.2,3.2,2.65,3.1,3,1000,3.1,3.2,3,3.2,2.8
"Sale","R6","6 Shaun Lee Rose (6)","Win",7,7,7,7,7.1,7,6.6,1000,6.5,7,7,7,6.25
"Sale","R6","8 Valve Bounce (8)","Win",13,13,13,13,13.2,13,12,1000,12,13,13,13,12
"Sale","R6","9 Madalia Tipper (7)","Win",31,34,34,34,35,35,20,1000,34,35,34,35,31
"Sale","R6","1 Elle Gem (1)","Place",2.1,1.95,2.1,1.9,1.7,1.88,1.65,1.9,2,1.9,1.8,"-","-"
"Sale","R6","2 Lakeview Nola (2)","Place",1.8,1.65,1.7,1.5,1.66,1.67,1.45,1.65,1.65,1.65,1.55,"-","-"
"Sale","R6","3 Bakis Bale (3)","Place",1.6,1.45,1.36,1.3,1.41,1.4,1.24,1.4,1.37,1.4,1.33,"-","-"
"Sale","R6","4 Soda Apache (4)","Place",2.4,2.1,2.35,2.1,1.9,2,1.85,2.15,2.2,2.15,1.95,"-","-"
"Sale","R6","5 Aviation (5)","Place",1.45,1.4,1.36,1.27,1.37,1.4,1.19,1.35,1.3,1.35,1.3,"-","-"
"Sale","R6","6 Shaun Lee Rose (6)","Place",2.15,2,2.2,1.95,2.05,2,1.75,2,2.15,2,1.8,"-","-"
"Sale","R6","8 Valve Bounce (8)","Place",3.25,2.8,3.3,2.9,2.3,3,2.5,2.9,3.1,2.9,2.35,"-","-"
"Sale","R6","9 Madalia Tipper (7)","Place",5,5,5.5,4.6,5.6,7,4.5,5.5,5,5.5,3.5,"-","-"
"Sale","R7","1 Madalia Snoopy (1)","Win",5.5,5,5,5,5.1,5,4.8,1000,4.8,5,5,5,4.4
"Sale","R7","2 First Mate (2)","Win",71,71,71,67,73,71,1.51,1000,67,71,67,71,61
"Sale","R7","3 Kelly Jane (3)","Win",2.2,2.1,2.1,2.1,2.2,2.1,2.06,8.2,2,2.1,2.15,2.1,1.9
"Sale","R7","4 Vista Vanadium (4)","Win",11,10,10,10,10.2,10,9.6,1000,9.5,10,10,10,9
"Sale","R7","5 Royal Magpie (5)","Win",4.4,4.2,4.2,4.2,3.65,4.2,4,1000,4,4.2,4,4.2,3.8
"Sale","R7","6 Easy Pie (6)","Win",26,34,34,34,29,35,20,1000,34,35,34,35,31
"Sale","R7","7 Excavator Ticket (7)","Win",8,7.5,7.5,7.5,7.6,7.5,7.2,1000,7,7.5,7.5,7.5,6.75
"Sale","R7","8 Go Astray (8)","Win",6,6.5,6.5,6.5,5.5,6.5,6.2,1000,6,6.5,6,6.5,5.75
"Sale","R7","1 Madalia Snoopy (1)","Place",1.8,1.6,1.6,1.4,1.56,1.53,1.35,1.55,1.55,1.55,1.5,"-","-"
"Sale","R7","2 First Mate (2)","Place",10,8,6,5,7.6,8,6.5,7.5,6,7.5,4.4,"-","-"
"Sale","R7","3 Kelly Jane (3)","Place",1.22,1.2,1.24,1.2,1.21,1.2,1.01,1.14,1.22,1.14,1.15,"-","-"
"Sale","R7","4 Vista Vanadium (4)","Place",2.9,2.2,2.4,2.2,2.25,2.25,1.9,2.25,2.35,2.25,1.9,"-","-"
"Sale","R7","5 Royal Magpie (5)","Place",1.6,1.5,1.4,1.32,1.46,1.5,1.27,1.45,1.37,1.45,1.4,"-","-"
"Sale","R7","6 Easy Pie (6)","Place",3.9,4.6,4.8,3.9,4.85,7.25,4,4.8,4.6,4.8,3.3,"-","-"
"Sale","R7","7 Excavator Ticket (7)","Place",2.2,1.9,2.15,1.9,1.9,1.91,1.65,1.9,2.05,1.9,1.7,"-","-"
"Sale","R7","8 Go Astray (8)","Place",1.85,1.8,2,1.75,1.6,1.75,1.55,1.75,1.8,1.75,1.65,"-","-"
"Sale","R8","1 Read The Room (1)","Win",3,2.9,2.9,2.9,3.05,2.9,2.88,1000,2.75,2.9,3,2.9,2.6
"Sale","R8","2 Collinda Dougie (2)","Win",11,11,11,11,11.2,11,9.6,1000,11,11,11,11,9.5
"Sale","R8","3 Sharni's Secret (3)","Win",5,5,4.8,4.8,4.25,4.6,4.4,1000,4.6,4.8,4.6,4.8,4.4
"Sale","R8","5 Zippity Zippin' (5)","Win",7,7,7,7,6,7,6.2,1000,6.5,7,6.5,7,6.25
"Sale","R8","6 Here Comes Artie (6)","Win",2.9,2.9,2.9,2.9,3.05,2.9,2.76,11.5,2.75,2.9,3,2.9,2.6
"Sale","R8","7 Spencer (7)","Win",15,13,13,13,13.2,13,11,1000,12,13,13,13,11
"Sale","R8","8 On The Green (8)","Win",12,11,12,11,12.2,12,10,1000,11,12,12,12,10
"Sale","R8","9 Slay Queen Molly (4)","Win",23,21,21,21,18.4,21,16.5,1000,21,21,20,21,19
"Sale","R8","1 Read The Room (1)","Place",1.4,1.35,1.3,1.25,1.34,1.33,1.13,1.28,1.3,1.28,1.27,"-","-"
"Sale","R8","2 Collinda Dougie (2)","Place",2.95,2.5,2.7,2.4,2.05,2.4,2.2,2.5,2.6,2.5,2.1,"-","-"
"Sale","R8","3 Sharni's Secret (3)","Place",1.75,1.7,1.6,1.45,1.62,1.62,1.4,1.6,1.5,1.6,1.5,"-","-"
"Sale","R8","5 Zippity Zippin' (5)","Place",2.1,1.95,2.15,1.9,2.05,1.91,1.7,1.95,2,1.95,1.8,"-","-"
"Sale","R8","6 Here Comes Artie (6)","Place",1.4,1.35,1.3,1.25,1.31,1.29,1.13,1.28,1.3,1.28,1.25,"-","-"
"Sale","R8","7 Spencer (7)","Place",3.4,2.8,3.1,2.7,3.05,3,2.4,2.8,3,2.8,2.2,"-","-"
"Sale","R8","8 On The Green (8)","Place",3,2.5,3,2.4,2.85,2.8,2.25,2.7,2.8,2.7,2.15,"-","-"
"Sale","R8","9 Slay Queen Molly (4)","Place",4.4,3.7,4,3.5,3,4.2,3.25,3.8,3.8,3.8,2.9,"-","-"
"Sale","R9","1 Tilly Girl (1)","Win",5.5,5,5,5,5,5,4.8,1000,4.8,5,5,5,4.6
"Sale","R9","2 Romp Tin (2)","Win",6.5,7,7,7,7.1,7,6.6,1000,7,7,7,7,6.25
"Sale","R9","3 Whisper Pie (3)","Win",29,34,34,34,35,35,20,1000,34,35,34,35,31
"Sale","R9","4 Lakeview Lass (4)","Win",4.8,4.2,4.4,4.2,4.35,4.4,3.9,1000,4.2,4.4,4.2,4.4,3.8
"Sale","R9","5 Neena Bale (5)","Win",41,51,51,51,53,51,24,1000,51,51,51,51,41
"Sale","R9","6 Magical Paws (6)","Win",101,101,126,101,131,126,1.62,1000,101,126,101,126,101
"Sale","R9","7 Top Kade (7)","Win",2.8,2.5,2.5,2.5,2.25,2.5,2.46,9.6,2.4,2.5,2.4,2.5,2.3
"Sale","R9","8 Whatever Tess (8)","Win",3,3.1,3.1,3.1,2.95,3,2.88,1000,3,3.1,3,3.1,2.7
"Sale","R9","1 Tilly Girl (1)","Place",1.75,1.5,1.55,1.37,1.52,1.57,1.31,1.5,1.45,1.5,1.5,"-","-"
"Sale","R9","2 Romp Tin (2)","Place",1.95,1.75,2,1.8,1.82,1.75,1.55,1.75,1.95,1.75,1.65,"-","-"
"Sale","R9","3 Whisper Pie (3)","Place",4,4.2,4.6,3.9,4.65,7,3.75,4.4,4.4,4.4,3.1,"-","-"
"Sale","R9","4 Lakeview Lass (4)","Place",1.65,1.4,1.4,1.3,1.3,1.4,1.22,1.4,1.37,1.4,1.4,"-","-"
"Sale","R9","5 Neena Bale (5)","Place",6,6,5.5,4.8,6.1,7.75,5,5.5,5,5.5,3.4,"-","-"
"Sale","R9","6 Magical Paws (6)","Place",15,9,10,6,9.1,7.75,8,9,8.5,9,4.6,"-","-"
"Sale","R9","7 Top Kade (7)","Place",1.33,1.22,1.26,1.22,1.16,1.25,1.05,1.18,1.25,1.18,1.2,"-","-"
"Sale","R9","8 Whatever Tess (8)","Place",1.35,1.28,1.3,1.25,1.21,1.3,1.1,1.25,1.25,1.25,1.25,"-","-"
"Sale","R10","1 Inter Cyborg (1)","Win",13,14,14,14,14.2,14,13,1000,13,14,14,14,13
"Sale","R10","2 Once More (2)","Win",5.5,6,5.5,5.5,6.1,5,4.6,1000,5.5,5.5,5.5,5.5,4.8
"Sale","R10","3 Saxon Kelton (3)","Win",8,9,9,9,7.7,9,8.6,1000,8.5,9,8.5,9,8
"Sale","R10","4 Search History (4)","Win",9,10,10,10,10.2,10,9.6,1000,9.5,10,10,10,9
"Sale","R10","5 Need A Pilot (5)","Win",3.6,3.5,3.5,3.5,2.95,3.4,3.35,1000,3.4,3.5,3.3,3.5,3.1
